 time (us) ,dim1 util,dim2 util,dim3 util,dim4 util,
10.000000,16.050000,0.000000,0.000000,0.000000,
20.000000,100.000000,0.000000,0.000000,0.000000,
30.000000,100.000000,0.000000,0.000000,0.000000,
40.000000,100.000000,0.000000,0.000000,0.000000,
50.000000,100.000000,0.000000,0.000000,0.000000,
60.000000,100.000000,0.000000,0.000000,0.000000,
70.000000,100.000000,0.000000,0.000000,0.000000,
80.000000,100.000000,0.000000,0.000000,0.000000,
90.000000,100.000000,0.000000,0.000000,0.000000,
100.000000,48.240000,0.000000,0.000000,0.000000,
110.000000,100.000000,0.000000,0.000000,0.000000,
120.000000,100.000000,0.000000,0.000000,0.000000,
130.000000,100.000000,0.000000,0.000000,0.000000,
140.000000,100.000000,0.000000,0.000000,0.000000,
150.000000,100.000000,0.000000,0.000000,0.000000,
160.000000,100.000000,0.000000,0.000000,0.000000,
170.000000,100.000000,0.000000,0.000000,0.000000,
180.000000,100.000000,0.000000,0.000000,0.000000,
190.000000,100.000000,0.000000,0.000000,0.000000,
200.000000,100.000000,0.000000,0.000000,0.000000,
210.000000,100.000000,0.000000,0.000000,0.000000,
220.000000,100.000000,0.000000,0.000000,0.000000,
230.000000,100.000000,0.000000,0.000000,0.000000,
240.000000,100.000000,0.000000,0.000000,0.000000,
250.000000,73.040000,0.000000,0.000000,0.000000,
260.000000,100.000000,0.000000,0.000000,0.000000,
270.000000,100.000000,0.000000,0.000000,0.000000,
280.000000,100.000000,0.000000,0.000000,0.000000,
290.000000,100.000000,0.000000,0.000000,0.000000,
300.000000,100.000000,0.000000,0.000000,0.000000,
310.000000,100.000000,0.000000,0.000000,0.000000,
320.000000,100.000000,0.000000,0.000000,0.000000,
330.000000,100.000000,0.000000,0.000000,0.000000,
340.000000,100.000000,0.000000,0.000000,0.000000,
350.000000,100.000000,0.000000,0.000000,0.000000,
360.000000,100.000000,0.000000,0.000000,0.000000,
370.000000,100.000000,0.000000,0.000000,0.000000,
380.000000,100.000000,0.000000,0.000000,0.000000,
390.000000,100.000000,0.000000,0.000000,0.000000,
400.000000,55.730000,0.000000,0.000000,0.000000,
410.000000,100.000000,0.000000,0.000000,0.000000,
420.000000,100.000000,0.000000,0.000000,0.000000,
430.000000,100.000000,0.000000,0.000000,0.000000,
440.000000,100.000000,0.000000,0.000000,0.000000,
450.000000,100.000000,0.000000,0.000000,0.000000,
460.000000,100.000000,0.000000,0.000000,0.000000,
470.000000,100.000000,0.000000,0.000000,0.000000,
480.000000,100.000000,0.000000,0.000000,0.000000,
490.000000,100.000000,0.000000,0.000000,0.000000,
500.000000,100.000000,0.000000,0.000000,0.000000,
510.000000,100.000000,0.000000,0.000000,0.000000,
520.000000,100.000000,0.000000,0.000000,0.000000,
530.000000,100.000000,0.000000,0.000000,0.000000,
540.000000,100.000000,0.000000,0.000000,0.000000,
550.000000,100.000000,0.000000,0.000000,0.000000,
560.000000,100.000000,0.000000,0.000000,0.000000,
570.000000,100.000000,0.000000,0.000000,0.000000,
580.000000,100.000000,0.000000,0.000000,0.000000,
590.000000,100.000000,0.000000,0.000000,0.000000,
600.000000,100.000000,0.000000,0.000000,0.000000,
610.000000,100.000000,0.000000,0.000000,0.000000,
620.000000,100.000000,0.000000,0.000000,0.000000,
630.000000,100.000000,0.000000,0.000000,0.000000,
640.000000,100.000000,0.000000,0.000000,0.000000,
650.000000,100.000000,0.000000,0.000000,0.000000,
660.000000,100.000000,0.000000,0.000000,0.000000,
670.000000,100.000000,0.000000,0.000000,0.000000,
680.000000,100.000000,0.000000,0.000000,0.000000,
690.000000,100.000000,0.000000,0.000000,0.000000,
700.000000,100.000000,0.000000,0.000000,0.000000,
710.000000,100.000000,0.000000,0.000000,0.000000,
720.000000,100.000000,0.000000,0.000000,0.000000,
730.000000,86.620000,0.000000,0.000000,0.000000,
740.000000,79.770000,0.000000,0.000000,0.000000,
750.000000,100.000000,0.000000,0.000000,0.000000,
760.000000,100.000000,0.000000,0.000000,0.000000,
770.000000,100.000000,0.000000,0.000000,0.000000,
780.000000,100.000000,0.000000,0.000000,0.000000,
790.000000,100.000000,0.000000,0.000000,0.000000,
800.000000,100.000000,0.000000,0.000000,0.000000,
810.000000,100.000000,0.000000,0.000000,0.000000,
820.000000,100.000000,0.000000,0.000000,0.000000,
830.000000,100.000000,0.000000,0.000000,0.000000,
840.000000,100.000000,0.000000,0.000000,0.000000,
850.000000,100.000000,0.000000,0.000000,0.000000,
860.000000,100.000000,0.000000,0.000000,0.000000,
870.000000,100.000000,0.000000,0.000000,0.000000,
880.000000,87.750000,0.000000,0.000000,0.000000,
890.000000,78.800000,0.000000,0.000000,0.000000,
900.000000,100.000000,0.000000,0.000000,0.000000,
910.000000,100.000000,0.000000,0.000000,0.000000,
920.000000,100.000000,0.000000,0.000000,0.000000,
930.000000,100.000000,0.000000,0.000000,0.000000,
940.000000,100.000000,0.000000,0.000000,0.000000,
950.000000,100.000000,0.000000,0.000000,0.000000,
960.000000,100.000000,0.000000,0.000000,0.000000,
970.000000,100.000000,0.000000,0.000000,0.000000,
980.000000,100.000000,0.000000,0.000000,0.000000,
990.000000,100.000000,0.000000,0.000000,0.000000,
1000.000000,100.000000,0.000000,0.000000,0.000000,
1010.000000,100.000000,0.000000,0.000000,0.000000,
1020.000000,100.000000,0.000000,0.000000,0.000000,
1030.000000,88.720000,0.000000,0.000000,0.000000,
1040.000000,75.340000,49.380000,49.380000,49.380000,
1050.000000,100.000000,100.000000,100.000000,100.000000,
1060.000000,100.000000,100.000000,100.000000,100.000000,
1070.000000,100.000000,100.000000,100.000000,100.000000,
1080.000000,100.000000,3.320000,100.000000,100.000000,
1090.000000,100.000000,54.270000,100.000000,100.000000,
1100.000000,100.000000,100.000000,100.000000,100.000000,
1110.000000,70.550000,100.000000,52.850000,90.960000,
1120.000000,100.000000,100.000000,87.860000,87.860000,
1130.000000,100.000000,100.000000,100.000000,100.000000,
1140.000000,100.000000,100.000000,100.000000,100.000000,
1150.000000,100.000000,100.000000,100.000000,100.000000,
1160.000000,100.000000,100.000000,100.000000,100.000000,
1170.000000,100.000000,100.000000,80.210000,100.000000,
1180.000000,100.000000,100.000000,0.000000,85.560000,
1190.000000,55.730000,66.230000,44.220000,41.370000,
1200.000000,100.000000,87.720000,100.000000,100.000000,
1210.000000,100.000000,100.000000,100.000000,100.000000,
1220.000000,100.000000,100.000000,100.000000,100.000000,
1230.000000,100.000000,100.000000,100.000000,100.000000,
1240.000000,100.000000,100.000000,100.000000,100.000000,
1250.000000,100.000000,100.000000,100.000000,100.000000,
1260.000000,100.000000,100.000000,100.000000,100.000000,
1270.000000,100.000000,87.400000,100.000000,100.000000,
1280.000000,100.000000,0.000000,100.000000,100.000000,
1290.000000,100.000000,0.000000,100.000000,100.000000,
1300.000000,100.000000,11.640000,100.000000,100.000000,
1310.000000,100.000000,71.690000,100.000000,100.000000,
1320.000000,100.000000,85.100000,100.000000,100.000000,
1330.000000,100.000000,100.000000,100.000000,100.000000,
1340.000000,100.000000,100.000000,100.000000,100.000000,
1350.000000,100.000000,100.000000,100.000000,56.460000,
1360.000000,66.390000,100.000000,100.000000,100.000000,
1370.000000,100.000000,100.000000,100.000000,100.000000,
1380.000000,100.000000,100.000000,100.000000,100.000000,
1390.000000,100.000000,100.000000,100.000000,100.000000,
1400.000000,100.000000,100.000000,100.000000,100.000000,
1410.000000,100.000000,100.000000,100.000000,100.000000,
1420.000000,100.000000,100.000000,58.840000,100.000000,
1430.000000,100.000000,100.000000,0.000000,96.870000,
1440.000000,73.040000,100.000000,49.580000,49.580000,
1450.000000,100.000000,100.000000,100.000000,100.000000,
1460.000000,100.000000,100.000000,100.000000,100.000000,
1470.000000,100.000000,100.000000,100.000000,100.000000,
1480.000000,100.000000,100.000000,100.000000,100.000000,
1490.000000,100.000000,100.000000,100.000000,100.000000,
1500.000000,100.000000,100.000000,18.490000,100.000000,
1510.000000,69.510000,100.000000,0.000000,23.840000,
1520.000000,0.000000,65.550000,55.350000,52.500000,
1530.000000,0.000000,55.080000,100.000000,100.000000,
1540.000000,0.000000,100.000000,100.000000,100.000000,
1550.000000,0.000000,54.500000,100.000000,100.000000,
1560.000000,0.000000,29.510000,100.000000,100.000000,
1570.000000,0.000000,16.510000,100.000000,14.480000,
1580.000000,0.000000,0.000000,100.000000,0.000000,
1590.000000,0.000000,96.280000,95.680000,54.010000,
,,,,
