RunName,DimensionIndex,AverageChunkLatency
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0,4.543875
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,1,1.083333
,,
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0,6.810812
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,1,0.542167
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,2,0.542167
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0,3.410875
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,1,0.723875
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,2,0.712922
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0,2.001813
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,1,0.735062
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,2,0.738479
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0,0.717437
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,1,0.308409
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,2,0.322717
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,3,0.331440
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0,0.480250
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1,0.257042
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,2,0.254738
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,3,0.268017
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-150-16 64-6 1-25 100-1,0,6.810812
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-150-16 64-6 1-25 100-1,1,1.617500
,,
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,0,10.211063
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,1,0.809250
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,2,0.809250
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,0,5.110875
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,1,1.081703
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,2,1.064948
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,0,3.002063
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,1,1.092953
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,2,1.104083
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,0,1.073687
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,1,0.459219
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,2,0.479789
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,3,0.493312
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0,0.717437
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1,0.384758
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,2,0.379445
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,3,0.399318
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-200-16 64-6 1-25 100-1,0,9.077125
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-200-16 64-6 1-25 100-1,1,2.151167
,,
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-200-16 8 8-4 4 1-25 25 100-1,0,13.610500
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-200-16 8 8-4 4 1-25 25 100-1,1,1.076083
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-200-16 8 8-4 4 1-25 25 100-1,2,1.076083
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-200-16 8 8-8 4 1-25 25 50-1,0,6.810812
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-200-16 8 8-8 4 1-25 25 50-1,1,1.439245
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-200-16 8 8-8 4 1-25 25 50-1,2,1.417388
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-200-8 16 8-7 4 1-25 25 50-1,0,4.001500
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-200-8 16 8-7 4 1-25 25 50-1,1,1.446547
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-200-8 16 8-7 4 1-25 25 50-1,2,1.469206
,,
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,0,1.428250
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,1,0.610372
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,2,0.637039
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,3,0.654404
,,
,,
,,
,,
,,
,,
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-200-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0,0.955000
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-200-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1,0.511948
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-200-4 8 4 8-2 7 6 1-187.5 25 25 100-1,2,0.503719
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-200-4 8 4 8-2 7 6 1-187.5 25 25 100-1,3,0.529135
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
