,,avg chunk delay dimension 1queuing delay phase 0,avg chunk delay dimension 2queuing delay phase 1,avg chunk delay dimension 3network delay phase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,14978.725266,200.373844,176.140500,0.000000,61795.373969,15938.885469,158.947313,26.545352,3.980117,3.980117,26.545352,158.947313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,13371.976562,324.028391,311.331734,0.000000,126161.951125,6173.220438,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,299478.536047,11.777953,4.152469,0.000000,97201.890609,352.795797,965.754708,56.664812,6.607318,6.607318,56.664812,965.754708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,14240.027062,340.496797,420.296766,0.000000,205952.762406,6057.357094,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,10818.383547,135.070484,153.109031,0.000000,256353.052063,7117.910797,155.767625,30.875969,4.550937,4.550937,30.875969,155.767625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,41821.229047,248.449516,192774.311469,7648.317359,113.548503,16.348109,16.348109,113.548503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,23254.192984,197.853719,194.729938,0.000000,105368.314875,19095.834297,158.947313,26.545352,3.980117,3.980117,26.545352,158.947313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,24826.595125,225.161047,282.523734,0.000000,128798.394312,2813.635516,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,425587.845359,12.447109,0.000000,0.000000,97218.823172,420.124750,965.754708,56.664812,6.607318,6.607318,56.664812,965.754708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,27370.094219,368.511578,639.311031,0.000000,199962.048922,2269.372625,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,23928.673469,235.250188,237.190406,0.000000,246706.812531,2521.825484,155.767625,30.875969,4.550937,4.550937,30.875969,155.767625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softmax2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QKV2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concat2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,44333.281495,71.715297,86945.053823,5959.242812,699.064834,15.622536,5.449370,37.849501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,66050.606901,63.781094,63.134547,0.000000,34614.363672,2628.329755,1044.804938,24.107784,1.326706,1.326706,8.848451,52.982438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,33271.213833,88.416797,106.024411,0.000000,55685.765214,1879.233380,535.648672,20.153933,2.347406,2.347406,12.524100,39.737005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,104687.807766,1.147219,0.855297,0.000000,35015.203984,155.618005,2966.775569,59.578604,2.202439,2.202439,18.888271,321.918236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,26944.951969,87.164286,96.624052,0.000000,90305.057682,1995.736125,304.223339,16.593433,2.347406,2.347406,12.524100,39.737005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,18171.468198,49.568141,52.240187,0.000000,104131.332766,1075.443839,228.246875,13.004990,1.516979,1.516979,10.291990,51.922542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relu2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,35445.033687,399.718195,110818.577672,42103.004781,242.354107,47.953668,32.693918,227.094357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,31131.138266,336.151328,419.926289,0.000000,40119.612203,30234.043195,340.781227,75.977710,7.957926,7.957926,53.088710,317.892227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,23972.695836,604.343359,417.615594,0.000000,69379.007102,18519.092180,249.864117,86.587154,14.082332,14.082332,75.142404,238.419367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1176224.933797,2.802625,0.000000,0.000000,52603.341164,865.811563,1992.544388,174.364328,13.212964,13.212964,113.328828,1931.508888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,22928.457734,467.320742,433.184281,0.000000,121460.359945,35830.928250,244.523367,81.246404,14.082332,14.082332,75.142404,238.419367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,17404.661703,282.299648,288.137539,0.000000,143367.420609,44839.538867,315.603406,65.820341,9.100177,9.100177,61.750841,311.533906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2W2b2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,117158.981906,437.397516,87689.366422,23020.355234,242.354107,47.953668,32.693918,227.094357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,54612.138594,898.384672,375.624008,0.000000,24027.955500,13376.971227,340.781227,75.977710,7.957926,7.957926,53.088710,317.892227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,45967.069289,920.140266,559.159344,0.000000,55579.035703,11495.672469,249.864117,86.587154,14.082332,14.082332,75.142404,238.419367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,1507357.893977,2.151523,0.262813,0.000000,52641.226031,888.699820,1992.544388,174.364328,13.212964,13.212964,113.328828,1931.508888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,43997.902867,900.771703,581.619617,0.000000,108055.597102,10388.103766,244.523367,81.246404,14.082332,14.082332,75.142404,238.419367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,55253.858344,344.804281,355.311148,0.000000,126062.007820,17568.810711,315.603406,65.820341,9.100177,9.100177,61.750841,311.533906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layernorm2,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,4975.302859,102.580828,102690.863758,8009.260898,72.034001,23.433805,8.174055,56.774251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,5490.543539,102.223984,92.296211,0.000000,12297.097047,9697.052047,102.362656,36.161676,1.990059,1.990059,13.272676,79.473656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,3740.774891,168.846438,148.745539,0.000000,56848.983406,3132.325430,71.050258,30.230900,3.521109,3.521109,18.786150,59.605508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,76059.429914,41.619500,51.395586,0.000000,52824.607516,1211.407961,543.912854,89.367906,3.303659,3.303659,28.332406,482.877354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,3530.680016,173.923430,139.563156,0.000000,122624.608281,3226.772586,65.709508,24.890150,3.521109,3.521109,18.786150,59.605508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2678.011078,68.914422,71.472086,0.000000,151527.795344,4581.410758,81.953312,19.507484,2.275469,2.275469,15.437984,77.883813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K3,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,17755.950875,203.882750,262008.311984,21357.823734,113.548503,16.348109,16.348109,113.548503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,14978.725266,200.373844,176.140500,0.000000,61795.373969,15938.885469,158.947313,26.545352,3.980117,3.980117,26.545352,158.947313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,13403.835594,309.748922,237.694641,0.000000,162105.970547,8768.157312,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,305514.946391,31.201656,11.394234,0.000000,105630.977062,334.293172,965.754708,56.664812,6.607318,6.607318,56.664812,965.754708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,13085.326906,316.461719,241.281078,0.000000,266671.926266,8256.495672,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,10257.747859,139.973484,162.108812,0.000000,316187.276984,7139.881938,155.767625,30.875969,4.550937,4.550937,30.875969,155.767625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V3,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,40884.071172,197.186438,252003.472375,11839.964547,113.548503,16.348109,16.348109,113.548503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,23254.192984,197.853719,194.729938,0.000000,105368.314875,19095.834297,158.947313,26.545352,3.980117,3.980117,26.545352,158.947313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,24855.375922,264.329172,300.999172,0.000000,163239.818953,3797.714094,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,427788.257219,50.947422,8.591688,0.000000,105629.964547,515.502516,965.754708,56.664812,6.607318,6.607318,56.664812,965.754708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,27554.047922,273.960781,294.354688,0.000000,264754.647016,3983.341719,119.211016,37.572299,7.042219,7.042219,37.572299,119.211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,22148.242641,182.707047,207.331422,0.000000,307678.418562,3170.510344,155.767625,30.875969,4.550937,4.550937,30.875969,155.767625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softmax3,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
